x, y
10/10/2023 04:57,4720.00003
10/10/2023 04:32,2289.99993
10/10/2023 04:13,1719.999
10/10/2023 06:17,3189.99997
10/10/2023 07:40,5395.00005
10/10/2023 07:43,6070.00008
10/10/2023 07:37,6954.99965
10/10/2023 06:01,7119.9992
10/10/2023 05:26,7119.9992
10/10/2023 09:24,6894.99919
10/10/2023 09:38,6025.00008
10/10/2023 09:49,5184.99913
10/10/2023 09:53,4495.00002
10/10/2023 11:08,5724.99915
10/10/2023 11:20,6849.99919
10/10/2023 11:37,5679.99915
10/10/2023 11:42,5154.99959
10/10/2023 11:50,4734.99911
10/10/2023 11:55,4209.99955
10/10/2023 10:33,4720.00003
10/10/2023 10:27,4254.99955
10/10/2023 10:15,3654.99907
